regime,seed,e_global,e_post_coarse,e_post_mcmc,l1_delta_loglik,w1,tv,training_time_s
Pure Physics PINN,101,0.02088410131180528,0.02012368903841473,0.019857466518920956,2.6034608746246515,0.006876489785612384,0.5994471623672237,56.06610608100891
Pure Physics PINN,102,0.018585542259426865,0.010884301745283834,0.01018209376750618,0.1905181448109152,0.00042446362246617727,0.04433643607351656,55.32609009742737
Pure Physics PINN,103,0.014556424533434628,0.010305384574324365,0.010252275749559035,0.6068673542277171,0.002223669537925238,0.2173466776617322,55.43456268310547
Pure Physics PINN,104,0.022502040651321734,0.017354251519674565,0.017138872420611958,1.4130501116395804,0.0021765028778218537,0.2122524440165883,56.2975914478302
Pure Physics PINN,105,0.0280784293737149,0.02464226718577556,0.024960449245652577,3.1427677851265687,0.004010083213749853,0.38899951820391665,55.50155973434448
Data-Supervised Only,101,0.04475493272751462,0.03887644004300718,0.039024148470051936,8.51786419000669,0.006977635471773968,0.6065326750727082,42.40029454231262
Data-Supervised Only,102,0.06312051086779023,0.06559102391423378,0.0660125252030471,23.788511275777342,0.005554679014297649,0.5100642442322586,41.983601093292236
Data-Supervised Only,103,0.042528589375151374,0.041540896517588674,0.041599016475260805,11.467141941726837,0.0013600142266652021,0.13124249414087924,42.333906412124634
Data-Supervised Only,104,0.06333762809530846,0.05442101399167926,0.05481001475688346,21.25997733295983,0.009503155481128822,0.741795140356779,42.25329256057739
Data-Supervised Only,105,0.08591156522881263,0.08400458084704257,0.08314734145929538,47.49546336948237,0.021701586944334595,0.9944747907238467,42.032297134399414
Hybrid Regularized,101,0.02900518175369934,0.024618151937272917,0.024847705030143823,3.8846377917764716,0.0005876671032441879,0.05793986132493819,55.09046649932861
Hybrid Regularized,102,0.05847567839253392,0.05395797904609196,0.05386582504157339,13.283521241945671,0.00484355806193047,0.4436806074862268,54.50453805923462
Hybrid Regularized,103,0.023844980698744397,0.025266694384819578,0.0253131199359136,3.396412161501222,2.472036102569622e-05,0.0034240211833369287,55.014705181121826
Hybrid Regularized,104,0.047167796066758444,0.045265676624882976,0.04573116756159889,6.256949232924946,0.004554297834370532,0.42048571326880513,54.95028376579285
Hybrid Regularized,105,0.061393662297096065,0.04897291592179325,0.048624422156915335,16.04695038779819,0.0027531856111346806,0.29140004715443846,54.7127628326416
