phase,metric,reported_value,recomputed_value,absolute_difference,relative_difference,status,source_artifact
Phase I,Mean Research W1,0.002227,0.0022270142567830903,1.4256783090454278e-08,6.401788545331962e-06,PASS,results/phase1_baseline/phase1_baseline_summary.csv
Phase I,Mean Control W1,0.00047856,0.00047856086271139,8.627113900106127e-10,1.8027235665551086e-06,PASS,results/phase1_baseline/phase1_baseline_summary.csv
Phase I,Mean BFR,4.86,4.86,0.0,0.00022555327651131653,PASS,results/phase1_baseline/phase1_baseline_summary.csv
Phase I,Median BFR,4.52,4.52,0.0,0.00024615553579595347,PASS,results/phase1_baseline/phase1_baseline_summary.csv
Phase II,Pearson Correlation (Rel L2 vs W1),0.8112,0.8112,0.0,1.8557422212564954e-05,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level1_very_poor),Forward Rel L2 (%),91.1775072596522,91.1775072596522,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level1_very_poor),Posterior W1,0.0818307722559542,0.0818307722559542,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level2_poor),Forward Rel L2 (%),71.9745517182035,71.9745517182035,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level2_poor),Posterior W1,0.177128284075948,0.177128284075948,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level3_moderate),Forward Rel L2 (%),30.317096041449755,30.317096041449755,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level3_moderate),Posterior W1,0.0233988967995993,0.0233988967995993,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level4_good),Forward Rel L2 (%),10.93189519272039,10.93189519272039,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level4_good),Posterior W1,0.0085956427162026,0.0085956427162026,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level5_very_good),Forward Rel L2 (%),4.288447344056763,4.288447344056763,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level5_very_good),Posterior W1,0.0012881437390811,0.0012881437390811,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level6_highly_accurate),Forward Rel L2 (%),2.4574537721644614,2.4574537721644614,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase II (level6_highly_accurate),Posterior W1,0.0021097083517641,0.0021097083517641,0.0,0.0,PASS,results/phase2_accuracy_sweep/phase2_accuracy_sweep_summary.csv
Phase III (pinn_a_posterior_focused),E_global (%),57.18251871304565,57.18251871304565,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_a_posterior_focused),E_posterior (%),2.575052439072099,2.575052439072099,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_a_posterior_focused),Posterior W1,0.0012269117774474,0.0012269117774474,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_b_uniform),E_global (%),3.141684250939541,3.141684250939541,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_b_uniform),E_posterior (%),1.545680637553374,1.545680637553374,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_b_uniform),Posterior W1,0.0004704062275091,0.0004704062275091,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_c_tail_focused),E_global (%),4.416910602283443,4.416910602283443,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_c_tail_focused),E_posterior (%),2.9186487493915734,2.9186487493915734,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase III (pinn_c_tail_focused),Posterior W1,0.0006954992849101,0.0006954992849101,0.0,0.0,PASS,results/phase3_error_localization/phase3_localization_summary.csv
Phase V (sigma=0.001),Mean Posterior Std,0.0005276983620193,0.0005276983620193,0.0,0.0,PASS,results/phase5_noise_sweep/phase5_noise_sweep_summary.csv
Phase V (sigma=0.001),Mean BFR,23.378939657912404,23.378939657912404,0.0,0.0,PASS,results/phase5_noise_sweep/phase5_noise_sweep_summary.csv
Phase V (sigma=0.005),Mean Posterior Std,0.0026416674024517,0.0026416674024517,0.0,0.0,PASS,results/phase5_noise_sweep/phase5_noise_sweep_summary.csv
Phase V (sigma=0.005),Mean BFR,6.228245366774949,6.228245366774949,0.0,0.0,PASS,results/phase5_noise_sweep/phase5_noise_sweep_summary.csv
Phase V (sigma=0.01),Mean Posterior Std,0.0055116187557046,0.0055116187557046,0.0,0.0,PASS,results/phase5_noise_sweep/phase5_noise_sweep_summary.csv
