pde,level,seed,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
wave,L1,101,0.8839034835371515,0.7197474293775852,22100.80752396053,0.2687363913028215,37.57795836444822,1.0000000000000002,2.822373390197754
wave,L1,102,0.9275962913156005,0.7768632678331149,25531.121063280825,1.2380889659834022,36.85562853926043,1.0,2.806502342224121
wave,L1,103,0.8573102315197066,0.6840545879952955,20231.830732643193,0.1256368084995807,37.80064547724047,1.0,2.8163070678710938
wave,L2,201,0.8601306246277458,0.7275226835848558,21968.401532411724,0.026452320949001087,35.56529861900524,0.9819159031090524,8.647202968597412
wave,L2,202,0.7325890801849988,0.5667279314416718,11755.563335705507,0.08399854031446624,38.47981526630009,1.0,8.694533348083496
wave,L2,203,0.735183500139114,0.5899936690475854,13037.31654475688,0.14100865896547238,38.39066623938335,1.0,8.641123056411743
wave,L3,301,0.38548552866755215,0.3561791539694771,3715.6580453551273,0.031105415523550964,39.47148056505569,1.0,21.92476224899292
wave,L3,302,0.33262871681819506,0.3088598754172877,2653.7691553162017,0.008115205750517659,15.454175049347445,0.9879093178948841,21.912921667099
wave,L3,303,0.4823773404911675,0.4391379262064571,5786.964888428667,0.000999930002204965,0.5145058756606374,0.2759660147868311,21.852708339691162
wave,L4,401,0.09796087590002359,0.06478901028701384,99.02865076688877,0.015583962018241452,39.41475658740378,0.9999998755632391,51.533618688583374
wave,L4,402,0.0881839894176294,0.05302822414557848,60.28404098644153,0.00060285227980781,0.08698530211794812,0.16701183969055391,51.559643268585205
wave,L4,403,0.1387814286064819,0.10244979287005582,333.6026398488243,0.00034897862879708597,0.02983045142173913,0.09789391822138774,51.23226451873779
wave,L5,501,0.03269079483765249,0.02562720957667619,16.39022255423113,0.00011321703329612886,0.0029796095969452266,0.030891902187835198,107.29839873313904
wave,L5,502,0.02947569005609103,0.024990792269025543,20.290605341563904,0.003630203894074955,3.0533197718127614,0.7826167505252283,107.68256378173828
wave,L5,503,0.02762907053995589,0.022197593864000713,20.244856593891924,0.000744127222800336,0.12865175078421054,0.200757189379785,107.71035194396973
