pde,diagnostic,t_stat,p_val,categorical_partial_r,incremental_R2,df_resid
heat,e_global,3.192097301495457,0.0023761125586075193,0.4015630207064671,0.032172859496043316,53
heat,e_posterior,5.0713203553996244,5.163695589501554e-06,0.5715881541957973,0.06518515113675227,53
heat,l1_delta_loglik,13.61548926272371,6.105375794464795e-19,0.8818544977678889,0.15515869062304843,53
wave,e_global,-0.0750770087567578,0.940436107388518,-0.010312071931857599,2.37479955436104e-05,53
wave,e_posterior,0.11824374121265913,0.9063215424850204,0.016239885048853354,5.889806037506773e-05,53
wave,l1_delta_loglik,-0.7525419687725496,0.4550547241521563,-0.1028217099287462,0.002361047558004592,53
advection_diffusion,e_global,8.602332009929814,1.2360960639692246e-11,0.7633331818809702,0.02361321091918589,53
advection_diffusion,e_posterior,9.503667678093267,4.838372670669627e-13,0.7938497226657338,0.025538968841157916,53
advection_diffusion,l1_delta_loglik,10.651253972648885,8.845483975723357e-15,0.8255813423901909,0.02762145186812004,53
burgers,e_global,1.771763516750481,0.08218259697363522,0.23646825903095417,0.01820181643970098,53
burgers,e_posterior,2.158240105229521,0.035458813173910565,0.2842300361288977,0.026297166915589032,53
burgers,l1_delta_loglik,2.6903253810199588,0.009525965999982653,0.346633135123198,0.03911192331289848,53
