pde,magnitude,w1_support,tv_support,w1_tail,tv_tail,distortion_ratio
heat,1.0,0.0009010748024716196,0.12915765008175242,0.0,0.0,901074802471.6195
heat,2.5,0.0014152889626881866,0.20286373129738441,0.0,0.0,1415288962688.1865
heat,5.0,0.0015651496079694925,0.22434435502715339,0.0,0.0,1565149607969.4924
heat,10.0,0.0015787800982710208,0.22629811301925196,0.0,0.0,1578780098271.0208
heat,20.0,0.0015788727408469342,0.22631139215808652,0.0,0.0,1578872740846.934
wave,1.0,1.4968017888851888e-13,1.530003813648688e-11,0.0,0.0,149.68017888851887
wave,2.5,2.1735175047150686e-13,2.2217422003282298e-11,0.0,0.0,217.35175047150685
wave,5.0,2.351953175513395e-13,2.404119142604551e-11,0.0,0.0,235.19531755133946
wave,10.0,2.367786153305299e-13,2.4203108143729128e-11,0.0,0.0,236.77861533052987
wave,20.0,2.367881909652676e-13,2.4204259159728994e-11,0.0,0.0,236.78819096526757
advection_diffusion,1.0,5.639416820609843e-13,4.0362585286024e-11,0.0,0.0,563.9416820609842
advection_diffusion,2.5,8.189121193181307e-13,5.861133759916919e-11,0.0,0.0,818.9121193181306
advection_diffusion,5.0,8.861346568578915e-13,6.342258287763757e-11,0.0,0.0,886.1346568578914
advection_diffusion,10.0,8.921029139905265e-13,6.384987045464352e-11,0.0,0.0,892.1029139905264
advection_diffusion,20.0,8.921430505311798e-13,6.385278330978852e-11,0.0,0.0,892.1430505311797
burgers,1.0,2.0227954406820016e-06,0.001542904483277397,0.0,0.0,2022795440.6820014
burgers,2.5,2.939397502154527e-06,0.0022420505272041286,0.0,0.0,2939397502.1545267
burgers,5.0,3.1812648518091892e-06,0.002426536912053968,0.0,0.0,3181264851.809189
burgers,10.0,3.2027525386246187e-06,0.002442926828529858,0.0,0.0,3202752538.6246185
burgers,20.0,3.2028982994641416e-06,0.0024430380088540124,0.0,0.0,3202898299.4641414
