pde,tier,n,r_eg,r_ep,r_lik,ep_beats_eg,lik_beats_eg
heat,L1,10,0.5728913104531055,0.7794723822410983,0.9231037009131449,True,True
heat,L2,10,0.9620029711761611,0.9766654348352525,0.9934446092472177,True,True
heat,L3,10,0.7607076131496172,0.6950570726566433,0.9477151421687323,False,True
heat,L4,10,0.08604247942711732,0.27400246922659544,0.4390543276968104,True,True
heat,L5,10,0.2206367406588821,0.2958502142453725,0.27341845742541554,True,True
heat,L6,10,0.1200763540232451,0.23203002266005757,0.4898553851730793,True,True
wave,L1,10,-0.20134667322010064,-0.11731095144234698,-0.17494363089896048,True,True
wave,L2,10,0.2614103839357096,0.3708635949807133,0.3406780008477881,True,True
wave,L3,10,0.6246717159434529,0.5292196182287212,0.6432125254513619,False,True
wave,L4,10,-0.2524557216825851,-0.07327203041230326,0.07031110358678977,True,True
wave,L5,10,-0.4867398697643843,-0.5452632039674539,-0.46737052245780525,False,True
wave,L6,10,0.20606785259226498,0.0666500905673119,-0.03764750490992565,False,False
advection_diffusion,L1,10,-0.12935280058624973,-0.06213743658081415,-0.41866203883100356,True,False
advection_diffusion,L2,10,0.8663289546957567,0.8892373731082903,0.9382567142950846,True,True
advection_diffusion,L3,10,-0.3299548144899929,-0.29619346553821446,-0.14458261959411894,True,True
advection_diffusion,L4,10,0.14867291359695728,0.3845763229633704,0.2112380321868027,True,True
advection_diffusion,L5,10,0.32523822329150365,0.37981683617107476,0.8364462075057503,True,True
advection_diffusion,L6,10,-0.11182847801468107,0.14066200143029908,0.33735420928636656,True,True
burgers,L1,10,0.6328501828472088,0.40418927619694645,0.4926896429554717,False,False
burgers,L2,10,-0.7120913967369507,-0.6749188080665164,-0.5792398387833935,True,True
burgers,L3,10,0.9080730285670118,0.8438517596944074,0.6655262538059211,False,False
burgers,L4,10,0.9890437752435347,0.9939710821424222,0.996703692187005,True,True
burgers,L5,10,-0.635880699044123,-0.8616001798220233,-0.20101585541191622,False,True
burgers,L6,10,0.4378865629457784,0.47515453411390224,0.7607009863308873,True,True
