model_idx,tier,tier_id,seed,epochs,lbfgs,train_time_s,w1,e_global,e_posterior,l1_delta_loglik
1,Tier 1: Underconverged,1,42,40,0,11.205894470214844,0.1491244169658452,0.7193230776774491,0.7224287809610332,49079.961909340374
2,Tier 1: Underconverged,1,101,40,0,11.069673776626587,0.14313534420423837,0.7382372670113958,0.7401592109870496,47223.54430844152
3,Tier 1: Underconverged,1,202,40,0,10.478519678115845,0.1472458648974988,0.7079567960154506,0.7160609105034593,45560.695466966295
4,Tier 1: Underconverged,1,303,40,0,10.50544285774231,0.14986113419220787,0.726330338556107,0.7312126130629872,42825.89874096095
5,Tier 2: Early Converged,2,42,100,0,29.39461588859558,0.1500694618339177,0.5448809966030453,0.5465663757971908,26834.45355756367
6,Tier 2: Early Converged,2,101,100,0,31.981683492660522,0.07895214878020886,0.6027805324149739,0.6029020202814647,32593.581433177435
7,Tier 2: Early Converged,2,202,100,0,31.593688488006592,0.15023107316417675,0.4896650342986946,0.4911940568530704,17881.088813206934
8,Tier 2: Early Converged,2,303,100,0,27.430028676986694,0.14970565049563414,0.5422065147830426,0.5458815487190202,20618.750223440158
9,Tier 3: Intermediate,3,42,200,0,50.962737798690796,0.11289781854998183,0.24391430949445056,0.23899155216026252,3714.736524253513
10,Tier 3: Intermediate,3,101,200,0,51.60817861557007,0.08483052266311054,0.21509242866358103,0.21416871922255093,1672.1110840582485
11,Tier 3: Intermediate,3,202,200,0,52.60446238517761,0.0023601497923150037,0.1941716788371479,0.19095098784092954,1828.5238246551103
12,Tier 3: Intermediate,3,303,200,0,52.08819389343262,0.14964455518372552,0.2809356184310387,0.2769464845480984,3446.329770271479
13,Tier 4: Near-Optimal,4,42,400,0,101.51306104660034,0.03265566360355978,0.08446611735905646,0.08341369023866657,402.9103431753748
14,Tier 4: Near-Optimal,4,101,400,0,101.86947989463806,0.037616573666008436,0.0939136793314285,0.09085581947910044,384.7307035911922
15,Tier 4: Near-Optimal,4,202,400,0,112.56303453445435,0.038430426373270224,0.08802889214896893,0.08535066978479032,580.0472007444889
16,Tier 4: Near-Optimal,4,303,400,0,110.0335705280304,0.036382133659343424,0.10803693415946941,0.10587152083743413,425.78977686265233
17,Tier 5: Converged,5,42,600,15,142.02110743522644,0.028597875400867338,0.06071333873223051,0.059453064596073385,163.1864044487061
18,Tier 5: Converged,5,101,600,15,158.25507616996765,0.03241238317817132,0.06042883672098091,0.059239805995624416,130.09640038517315
19,Tier 5: Converged,5,202,600,15,145.41907286643982,0.012910589376492847,0.05585075533351092,0.05416734630293257,148.8160611564536
20,Tier 5: Converged,5,303,600,15,145.68256163597107,0.021670256195810957,0.0706446550704833,0.06732625934945773,202.69460069659627
