realization_idx,seed,alpha_0,exact_mean,exact_std,exact_ci95,pinn_mean,pinn_std,pinn_ci95,mean_bias,rel_bias_pct,bias_in_std_units,var_ratio,w1_research,w1_control_baseline,bfr,ks_statistic,ks_p_value,exact_covered_true,pinn_covered_true
1,101,0.30428852552970886,0.493976734735487,0.0053055454250799695,"[0.48366316412504545, 0.5045534611325818]",0.4923827586338579,0.005093287258266783,"[0.4816370808791531, 0.5016125301575246]",-0.001593976101629091,-0.32268242399768643,-0.3004358598258095,0.9215868455447566,0.0015979306509693535,0.00041198419222553026,3.8786212702418617,0.16075,1.6661123615722114e-45,True,True
2,102,0.898522574149349,0.5003535754052137,0.005538128266797037,"[0.48886737099976785, 0.5126038247917631]",0.49831199979965946,0.0053230522980431275,"[0.487963388807896, 0.5091761521565717]",-0.002041575605554291,-0.4080265847807545,-0.3686400002314613,0.9238372000396737,0.002041575605554247,0.0004133594311938581,4.938983972514673,0.197,2.8086707804882405e-68,True,True
3,103,0.697450258785376,0.5009453410325371,0.005442125987749236,"[0.49031463577006573, 0.5113244112989903]",0.4978981276087851,0.005581925671081526,"[0.48668346010643737, 0.5080536698322687]",-0.003047213423751971,-0.6082925968472178,-0.5599307018270048,1.0520367594882307,0.0030472134237520465,0.0007908433615460349,3.853118799397886,0.25075,8.216488275572157e-111,True,True
4,104,0.8095806571946195,0.4970595784312614,0.005259474586074209,"[0.48774913408999737, 0.507541457569309]",0.4946575566358821,0.005546055281338145,"[0.4832592605630209, 0.5048016417479412]",-0.0024020217953792944,-0.4832462544953192,-0.4567037554927632,1.1119459221211405,0.0024024380014683057,0.0003617320199114166,6.641485600463655,0.181,1.2069353003628058e-57,True,True
5,105,0.42018369158287133,0.4973374257277246,0.005749368738751697,"[0.48520452515145884, 0.5079449520312626]",0.4953004650065496,0.00570637150596777,"[0.4838655675648209, 0.5056170198802806]",-0.002036960721174985,-0.4095731822704516,-0.354292934360807,0.9850987281388444,0.002064888360218481,0.0005118727625053246,4.033987567754206,0.17975,7.474926465227744e-57,True,True
6,106,1.1094272994149044,0.5047563168925212,0.00529600501091127,"[0.49409161388931794, 0.5149319349963092]",0.5025273378033785,0.005378574450393529,"[0.4918726905832539, 0.5127067015408576]",-0.0022289790891426575,-0.44159508549890586,-0.420879339152797,1.0314248588508983,0.0022291535424885265,0.00036708816916183987,6.072528971931398,0.19075,5.150869905377239e-64,True,True
7,107,0.5668179136056816,0.5043580916863011,0.005806365103225267,"[0.49298659678869367, 0.5151808628958695]",0.5015851095252666,0.005479702546303527,"[0.49038642359878665, 0.5126706001601179]",-0.0027729821610344985,-0.5498042376524869,-0.4775762653116164,0.8906463395553648,0.0027884425854190556,0.00045957107887094567,6.067489260354635,0.249,2.928294381174165e-109,True,True
8,108,0.4307755788515068,0.49558624422536945,0.005369917906614913,"[0.4855315475779304, 0.5060475200116427]",0.49392212809201735,0.00550528585458611,"[0.48354163102027403, 0.5041074955942605]",-0.0016641161333521004,-0.3357873937669945,-0.30989601001196976,1.0510526106392837,0.0016641161333521013,0.0005319361432452891,3.128413352774819,0.165,6.24285124229096e-48,True,True
9,109,0.35741149727349547,0.4917447653371264,0.005252526608528337,"[0.4817306946080526, 0.5024214414268896]",0.4898110190203861,0.005358175534941552,"[0.47882119038420956, 0.500382829585093]",-0.0019337463167403146,-0.3932418712001118,-0.36815545372015684,1.0406324199989738,0.0019384242817626672,0.0003289316272135995,5.8930918202763936,0.167,4.2782961185079814e-49,True,True
10,110,0.4025169823762849,0.504353694403725,0.0055860386415935775,"[0.49399403125809793, 0.516401062055258]",0.5018577344208786,0.00533141457456715,"[0.49167147270265593, 0.5128961541678371]",-0.002495959982846463,-0.49488285910095803,-0.44682110937456243,0.9109132902979874,0.0024959599828465098,0.0006082898412405329,4.103241273528922,0.205,6.099817983445545e-74,True,True
