sigma_noise,realization,seed,exact_mean,exact_std,pinn_mean,pinn_std,mean_bias,bias_in_std_units,var_ratio,w1_research,w1_control,bfr
0.001,1,101,0.4994643831084707,0.0005305612854709856,0.4972629695686125,0.0005330988852152479,-0.002201413539858199,-4.149216311363217,1.0095885898696053,0.002201413539858142,8.605319050363829e-05,25.582009533569437
0.001,2,102,0.5000665510357934,0.0006033065993427257,0.49779522661655445,0.0005412807567974375,-0.002271324419238996,-3.764792929017738,0.8049502178820461,0.002271324419239018,7.087176035148241e-05,32.04837029551093
0.001,3,103,0.4999544010424188,0.0005071896331600392,0.49778615626748324,0.0005746663457105217,-0.002168244774935546,-4.2750179285448855,1.2837805469689683,0.002168244774935683,0.00014023137450551156,15.46190916677112
0.001,4,104,0.4997474047999603,0.0004898417429129025,0.49745218534675095,0.0004831654949133931,-0.002295219453209374,-4.685634669589185,0.9729269607236631,0.002295219453209358,8.629482820167246e-05,26.597416102913975
0.001,5,105,0.4998154884166961,0.0005075925492101796,0.49747412015971815,0.0006304453647326914,-0.0023413682569779493,-4.612692326978667,1.5426394488331006,0.002341368256978023,0.0001360865552815498,17.204993190796554
0.005,1,501,0.4941259306422854,0.002329632330474233,0.4918613141642225,0.0027837829558712023,-0.002264616478062864,-0.9720917968205284,1.427894015153142,0.002264616478062963,0.00046618711778500003,4.857741434003711
0.005,2,502,0.5028284857007187,0.0026952653422479913,0.5010157685056966,0.003124944791193679,-0.0018127171950220733,-0.6725561177993334,1.3442549496515706,0.001812735912560882,0.0005142306170432831,3.525141935312465
0.005,3,503,0.49524124323792884,0.002592029725629082,0.49297167712508855,0.002820542373175413,-0.0022695661128402933,-0.8755941686928753,1.184091603512487,0.00226956611284027,0.00035640879196649304,6.3678735317327355
0.005,4,504,0.49593160193387903,0.0027839445447596658,0.49376547467938026,0.002842320878127423,-0.002166127254498773,-0.778078449362573,1.0423775522857097,0.0021661272544987575,0.00021951505383861902,9.867784539693712
0.005,5,505,0.5014253164460305,0.0028074650691476146,0.4993742813146773,0.002634264205370507,-0.002051035131353185,-0.7305647909539894,0.8804200787659078,0.002060269477308247,0.00031586215693885073,6.522685393132121
