sensor_count_M,realization,seed,exact_mean,exact_std,exact_ci_width,pinn_mean,pinn_std,mean_bias,bias_in_std_units,var_ratio,w1_research,w1_control,bfr
20,1,20001,0.501613364842712,0.007619498385561355,0.029913588530861734,0.49889424719950964,0.00860414012815643,-0.0027191176432023734,-0.35686307754256313,1.2751526763409926,0.0027656072412110596,0.0008491656000323767,3.2568526576036683
20,2,20002,0.5003888593296567,0.00882938729684435,0.03599603050068689,0.49814838193731914,0.008360752872056353,-0.00224047739233757,-0.2537523065884843,0.8966638038407159,0.0022478319796176804,0.000981250473295104,2.2907830781159393
20,3,20003,0.47982691888424617,0.0083298717698237,0.030334883902317422,0.47896027664156116,0.008135324442032283,-0.0008666422426850118,-0.10404028616916514,0.9538347120597436,0.0009043203335505324,0.001232343530446163,0.7338216262012008
20,4,20004,0.49244310273868885,0.007758285281438255,0.029459289153929757,0.4909576162038183,0.00898045549546142,-0.0014854865348705726,-0.1914709863047208,1.3398779489043497,0.0016460063160672312,0.0013104842259065146,1.2560290948398272
20,5,20005,0.5018230863093855,0.00857586344539399,0.03167127709220874,0.49965896020195266,0.0078822059222092,-0.0021641261074328844,-0.25235081239486884,0.8447726386312349,0.0021909385261458126,0.0006825655154144614,3.2098582138528493
40,1,40001,0.5018672671731434,0.005418559843402607,0.02219326625622864,0.49941811555671883,0.005319340926923271,-0.0024491516164246163,-0.4519930917448739,0.9637134132807645,0.002449798118859345,0.0004736547110200568,5.172118131335569
40,2,40002,0.5016585071563291,0.005553273290030655,0.021094994943207934,0.4995465840794824,0.005747045670155796,-0.002111923076846711,-0.38030238501636443,1.071004272514854,0.0021322393058719885,0.00040425305849637716,5.274516199835003
40,3,40003,0.5007435308387101,0.0056474986715719456,0.02177910335421046,0.49771911257363943,0.005474673978822856,-0.0030244182650707163,-0.5355323552875406,0.9397325035213573,0.0030244182650706083,0.0010753047524304764,2.812614989596776
40,4,40004,0.5058426423427045,0.00560631453269389,0.0215286224660029,0.5033268309270102,0.005321677541078603,-0.0025158114156942357,-0.44874603467617336,0.9010361019599702,0.0025158114156942084,0.0007689013537511695,3.271956023253889
40,5,40005,0.5031839853152251,0.005483078090985974,0.02093405720489827,0.5002333014837217,0.005542056652583452,-0.002950683831503431,-0.5381436818041556,1.0216286403608827,0.0029508700439492305,0.00052139135642167,5.65960675719899
80,1,80001,0.4927357833665779,0.0038498393663521212,0.014899415292232876,0.4902883399649756,0.0037855748532136862,-0.0024474434016023006,-0.6357261092482195,0.9668930931500027,0.0024474434016023973,0.0006433013106778035,3.8045055419266753
80,2,80002,0.5029918845469514,0.0036888218555284126,0.014937616218724581,0.5011872399738602,0.004065928901871646,-0.001804644573091263,-0.48921976819947677,1.2149102485444465,0.0018156555990188994,0.0007740506343672152,2.345654816888296
80,3,80003,0.49935013919205123,0.00362490286530067,0.013652525995271947,0.49666418961493053,0.004000439413441705,-0.0026859495771207054,-0.740971462389014,1.2179308965293858,0.002685949577120611,0.00032523157604693096,8.258575657896845
80,4,80004,0.4960023182453218,0.003708719866179491,0.014366686431935338,0.4932138719333517,0.0036037059523207253,-0.0027884463119701164,-0.7518622092214964,0.9441709474719037,0.002788446311970252,0.0003524694965899556,7.911170580568518
80,5,80005,0.5055110727582375,0.0040146283362742455,0.015888065520915373,0.5044895747089375,0.0038584183054858716,-0.0010214980492999626,-0.25444398926544315,0.9236935847909542,0.0010304904303612904,0.0009421681000807192,1.0937437069595164
160,1,160001,0.5066463842594612,0.002786066872111915,0.011832803119157131,0.5045060214231406,0.0029084862847010484,-0.002140362836320575,-0.7682381416413574,1.0898104493502867,0.002140362836320752,0.00034039108585835466,6.287952079953737
160,2,160002,0.49823176597060226,0.0027261528854765804,0.010284691621618991,0.4959154174946998,0.0027559477615916217,-0.002316348475902452,-0.8496766590904762,1.0219780000548966,0.002316348475902517,0.00023206341961799624,9.981532116158158
160,3,160003,0.5011968744425461,0.002741816295517306,0.010911911150734699,0.49874398887682203,0.0027547201134406458,-0.0024528855657240944,-0.8946206825502899,1.009434754909088,0.002452885565724241,0.00023562366197501847,10.41018353234958
160,4,160004,0.5038452234258378,0.002852757240596692,0.01057827269714201,0.5015933347550687,0.002392217022581963,-0.0022518886707690866,-0.7893726948519759,0.703188112195774,0.002273462982476288,0.0003539965414007347,6.422274560876739
160,5,160005,0.49778696913640486,0.0027134955490906694,0.010921108114951394,0.4948718898978427,0.002576968047702335,-0.002915079238562157,-1.0742893016861468,0.9019030180605438,0.002915079238562103,0.00045566331251521946,6.397441177502604
