model_id,level,level_idx,seed,adam_epochs,lbfgs_iters,training_time_s,e_global_pct,e_posterior_pct,rms_posterior_pct,l1_delta_log_lik_post,w1_quadrature,w1_mcmc,calibrated_bfr,kl_divergence,js_divergence,total_variation,exact_posterior_mean,pinn_posterior_mean,exact_posterior_std,pinn_posterior_std,status
1,level1_30ep,1,101,30,0,4.547861337661743,72.99074461455807,60.34999719137603,60.350354791366264,3450.1754228377968,0.15356888149586653,0.15811904816451697,265.4014159587942,38.29997261093202,0.6931471805599454,1.0000000000000002,0.506749522500052,0.6603184039959203,0.00562817956398818,0.007464842765830763,CONVERGED
2,level1_30ep,1,102,30,0,4.5084068775177,86.16252585349494,63.484018541437734,63.484164117698384,3690.3560282505937,0.3271611539184935,0.33235644519426977,565.4077352840411,38.29997261093202,0.6931471805599453,1.0000000000000002,0.506749522500052,0.8339106764185483,0.00562817956398818,0.010716475611269339,CONVERGED
3,level1_30ep,1,103,30,0,4.475320100784302,80.12746195972676,67.02342895853971,67.02376338187587,4282.646430363117,0.38452034153006215,0.38870318851704033,664.5372559399964,38.29997261093202,0.6931471805599453,1.0000000000000002,0.506749522500052,0.8912698640301169,0.00562817956398818,0.008545494240827274,CONVERGED
4,level1_30ep,1,104,30,0,4.503101825714111,75.25055068890705,64.86990153769916,64.87022625003988,3851.8554784641,0.27613336513066555,0.27816376795039466,477.22028958788724,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.7828828876307206,0.00562817956398818,0.009816294711194327,CONVERGED
5,level1_30ep,1,105,30,0,4.514510154724121,84.72603377334056,67.69267264408813,67.69331134588619,4313.866188799225,0.3625373407223965,0.36668617121935465,626.5457078832059,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.8692868632224524,0.00562817956398818,0.009026903661780881,CONVERGED
6,level1_30ep,1,106,30,0,4.481857776641846,82.67213781378045,66.02215948280134,66.02227426037301,4120.763367742547,0.12706732580897268,0.1314856475505355,219.60079322910542,38.299972610931924,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6338168483090251,0.00562817956398818,0.009483371420705723,CONVERGED
7,level1_30ep,1,107,30,0,4.48345685005188,78.82514717298568,66.16840826875323,66.16877146036816,4295.489370557737,0.49486387287155176,0.49789153476375697,855.2355873640822,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,1.0016133953716087,0.00562817956398818,0.009613294657228984,CONVERGED
8,level1_30ep,1,108,30,0,4.512219429016113,76.46782888576493,58.85578646235191,58.856326306378136,3246.5392649103283,0.19043015196121357,0.19410516439624428,329.1059456802437,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6971796744612663,0.00562817956398818,0.008099115563865354,CONVERGED
9,level1_30ep,1,109,30,0,4.4747772216796875,77.26903540796488,61.02257570798454,61.02311088632915,3611.561106722948,0.1994613580894876,0.20197206122058936,344.713892231083,38.29997261093202,0.6931471805599454,1.0000000000000004,0.506749522500052,0.7062108805895412,0.00562817956398818,0.009226329733925521,CONVERGED
10,level1_30ep,1,110,30,0,4.4752418994903564,81.73413915151714,66.43897832034092,66.43939129088085,4209.898204748149,0.5078796204214698,0.5114016995363126,877.729713751292,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,1.014629142921527,0.00562817956398818,0.015687781863886276,CONVERGED
11,level2_100ep,2,101,100,0,15.113290786743164,48.6289664107734,32.61349109044225,32.614190262414475,999.1864222954582,0.011610003334157081,0.012712046214289958,20.064685593575465,2.7324166996304964,0.37451184105258395,0.7228302625088818,0.506749522500052,0.5183595258342081,0.00562817956398818,0.005076319158148292,CONVERGED
12,level2_100ep,2,102,100,0,14.896799802780151,65.45099079823098,50.69617499951605,50.69660964909423,2439.3997465808834,0.10278748631369237,0.1060914787182507,177.6397935882173,38.299972610932,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6095370088137447,0.00562817956398818,0.006667826284343665,CONVERGED
13,level2_100ep,2,103,100,0,15.06869888305664,51.930156949648534,38.874885100330495,38.87520247993691,1527.297370205825,0.07878163640847549,0.07963445298967903,136.15230931354455,38.299962558565895,0.6931471804866118,0.9999999999521304,0.506749522500052,0.5855311589085254,0.00562817956398818,0.006367275328318162,CONVERGED
14,level2_100ep,2,104,100,0,15.033732891082764,58.507231884557974,45.70477232666509,45.70513188546022,1831.5217886148585,0.12345397359712469,0.1252823158748008,213.3561114677936,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6302034960971774,0.00562817956398818,0.006275744487639848,CONVERGED
15,level2_100ep,2,105,100,0,14.97438669204712,61.68180881941899,48.293199026450544,48.2935820369979,2189.750370710439,0.1392290754178697,0.1416949581895483,240.6190199381699,38.29997261093202,0.6931471805599453,1.0000000000000002,0.506749522500052,0.6459785979179221,0.00562817956398818,0.006440824938340363,CONVERGED
16,level2_100ep,2,106,100,0,14.901185989379883,64.88821605162735,52.17680760309374,52.17710574503936,2602.633602614228,0.15110137599968104,0.15432372060277202,261.1370139120074,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6578508984997335,0.00562817956398818,0.006952909448941313,CONVERGED
17,level2_100ep,2,107,100,0,14.890575170516968,50.290624320971375,37.15747413769741,37.15772236677529,1328.9953238127573,0.08692918083137882,0.08828570954999497,150.23309055882518,38.29997261025415,0.6931471805597941,0.9999999999999026,0.506749522500052,0.5936787033314315,0.00562817956398818,0.005967827996983359,CONVERGED
18,level2_100ep,2,108,100,0,15.084128379821777,49.929025645177724,34.862266386305436,34.8626708031861,1101.919737645418,0.07622388833402022,0.07734292962300109,131.7319478834551,38.299971121952986,0.6931471805270095,0.9999999999787186,0.506749522500052,0.5829734108340731,0.00562817956398818,0.005668183199682707,CONVERGED
19,level2_100ep,2,109,100,0,15.00215458869934,53.665479914149664,38.81351523988993,38.813763873241236,1423.0730475757168,0.11659544479286515,0.11703927311842607,201.50303786125272,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6233449672929174,0.00562817956398818,0.006017963972956136,CONVERGED
20,level2_100ep,2,110,100,0,14.940383434295654,57.67781805837233,46.63557050497137,46.63572203003378,2161.4379745149754,0.1708104005126197,0.17173030552589424,295.19862171919385,38.29997261093202,0.6931471805599452,1.0000000000000002,0.506749522500052,0.6775599230126729,0.00562817956398818,0.006918000453005276,CONVERGED
21,level3_250ep_lbfgs,3,101,250,12,40.88267183303833,11.555670619050106,4.870138984922547,4.870394167582875,11.158962559898795,0.004081412368576851,0.004535697490492875,7.053594525015721,0.2513773171096182,0.06012844052632983,0.2791368356472571,0.506749522500052,0.510830934868628,0.00562817956398818,0.005790131810978708,CONVERGED
22,level3_250ep_lbfgs,3,102,250,12,38.698506593704224,26.484845557093607,15.167835880589184,15.168465000229228,213.05929499340476,0.0004707247646653413,0.0010297092640273128,0.8135178029047141,0.009417834499263898,0.0021947077597364055,0.04567003863320643,0.506749522500052,0.5071390986393864,0.00562817956398818,0.0052086052201144395,CONVERGED
23,level3_250ep_lbfgs,3,103,250,12,40.012895822525024,9.762460477471555,5.792634649900746,5.792828012116013,17.217351731418333,0.0027581412670186216,0.002754189142479818,4.766685740957407,0.11835211663996979,0.029081854038690555,0.19354344933222226,0.506749522500052,0.5039913812330342,0.00562817956398818,0.005652861565620073,CONVERGED
